,Title,Rank,Type,Episodes,Aired,Score
3549,Samurai Spirits 2: Asura Zanmaden,8385,OVA,2,Jun 1999 - Sep 1999,6.1
3550,Shiyakusho,7953,ONA,1,Feb 2022 - Feb 2022,6.19
3551,Scrap Diary,12766,Movie,1,2002 - 2002,3.14
3552,Tsukiuta. The Animation 2,5667,TV,13,Oct 2020 - Dec 2020,6.64
3553,Tiger Mask,2540,TV,105,Oct 1969 - Sep 1971,7.3
3554,Ashita Tenki ni Naare,7000,TV,47,Oct 1984 - Sep 1985,6.38
3555,Kiekaketa Monogatari-tachi no Tame ni,12322,Movie,1,1994 - 1994,4.77
3556,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Seton Tankentai! Sumidagawa no Chikai - Omoide no Shiroi Kujira wo Sagase!,7020,Special,2,Aug 2007 - Aug 2007,6.38
3557,Beastars,849,TV,12,Oct 2019 - Dec 2019,7.84
3558,Majin Sentai Death Ranger: Ubawareta Pudding!,12581,ONA,1,Sep 2014 - Sep 2014,4.45
3559,Killing Bites,6073,TV,12,Jan 2018 - Mar 2018,6.56
3560,Sword Art Online: Sword Art Offline,8164,Special,9,Oct 2012 - Jun 2013,6.14
3561,Tokyo Majin Gakuen Kenpucho: Tou,3734,TV,14,Jan 2007 - Apr 2007,7.06
3562,Zero no Tsukaima,2925,TV,13,Jul 2006 - Sep 2006,7.23
3563,Suisei,12163,Movie,1,1987 - 1987,4.9
3564,Shin Megami Tensei Devil Children: Light & Dark,3441,TV,52,Oct 2002 - Sep 2003,7.13
3565,Ushio to Tora,3389,OVA,10,Sep 1992 - Aug 1993,7.14
3566,Koi Koi 7,9886,TV,13,Apr 2005 - Jun 2005,5.76
3567,Boukyaku no Senritsu,7544,TV,24,Apr 2004 - Sep 2004,6.28
3568,Oniichan wa Oshimai!,1157,TV,12,Jan 2023 - Mar 2023,7.7
3569,Megohime,11358,ONA,3,Mar 2019 - Feb 2021,5.33
3570,22/7,4948,TV,12,Jan 2020 - Mar 2020,6.78
3571,Blue Seed 1.5,7239,OVA,2,Jun 1996 - Jun 1996,6.33
3572,Inko Colors the Animation,6963,ONA,1,Mar 2017 - Mar 2017,6.39
3573,Chuubyou Gekihatsu Boy: Otoko ni Umareta Shukumei Dakara,4532,Special,1,Mar 2020 - Mar 2020,6.87
3574,Shokugeki no Souma: San no Sara,580,TV,12,Oct 2017 - Dec 2017,8.01
3575,Bikini Warriors Special,11304,Special,1,Dec 2015 - Dec 2015,5.35
3576,Natsuyuki Rendezvous,2685,TV,11,Jul 2012 - Sep 2012,7.27
3577,Koi Koi 7 Specials,9811,Special,7,Jul 2005 - Jan 2006,5.78
3578,Date A Bullet: Dead or Bullet,1483,Movie,1,Aug 2020 - Aug 2020,7.57
3579,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma na Hibi,5113,Special,1,Jan 2006 - Jan 2006,6.75
3580,Exception,6787,ONA,8,Oct 2022 - Oct 2022,6.42
3581,Break Blade Movie 3: Kyoujin no Ato,962,Movie,1,Sep 2010 - Sep 2010,7.78
3582,Tales of Gekijou,6390,Special,5,Jan 2012 - Feb 2012,6.5
3583,Heisei Tanuki Gassen Ponpoko,2559,Movie,1,Jun 1994 - Jun 1994,7.3
3584,Rokujouma no Shinryakusha!?,3438,TV,12,Jul 2014 - Sep 2014,7.13
3585,Jewelpet Twinkle☆,1928,TV,52,Apr 2010 - Apr 2011,7.44
3586,Kimi no Iru Machi: Tasogare Kousaten,3112,OVA,2,Mar 2012 - Jun 2012,7.19
3587,Si Ling Bianma: Shijie Caozong Zhe,11625,ONA,12,Dec 2013 - Jun 2014,5.22
3588,Memories Off 3.5,8304,OVA,4,May 2004 - Oct 2004,6.12
3589,Toshi wo Totta Wani,7962,Movie,1,Mar 2005 - Mar 2005,6.19
3590,Osomatsu-san 2nd Season,1388,TV,25,Oct 2017 - Mar 2018,7.6
3591,Slayers Great,2515,Movie,1,Aug 1997 - Aug 1997,7.31
3592,Nyani ga Nyandaa Nyandaa Kamen,6262,TV,83,Feb 2000 - Sep 2001,6.52
3593,Usakame,9907,TV,12,Apr 2016 - Jun 2016,5.75
3594,Harukana Receive: Yokoku,9802,ONA,11,Jul 2018 - Sep 2018,5.78
3595,Keppeki Danshi! Aoyama-kun,4168,TV,12,Jul 2017 - Sep 2017,6.96
3596,Anmitsu Hime,2423,TV,51,Oct 1986 - Sep 1987,7.32
3597,Tian Huang Zhan Shen,5813,ONA,80,Nov 2020 - Aug 2021,6.61
3598,Ousama Game The Animation,11947,TV,12,Oct 2017 - Dec 2017,5.05
3599,Tori vs. Buta: Buttobi Pizza Battle,11771,ONA,1,Jul 2017 - Jul 2017,5.14
3600,Itazuraguma no Gloomy,11637,TV,12,Apr 2021 - Jun 2021,5.21
3601,Joukyou Monogatari,10570,Movie,1,1999 - 1999,5.58
3602,Miru Tights,6647,ONA,12,May 2019 - Jul 2019,6.45
3603,Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,2263,TV,12,Apr 2005 - Jun 2005,7.36
3604,Ghost,11392,Movie,1,1984 - 1984,5.32
3605,Magic Tree House,4467,Movie,1,Jan 2012 - Jan 2012,6.89
3606,Kuma ni Kuwarenu Otoko,12119,Movie,1,1948 - 1948,4.93
3607,Chikyuugai Shounen Shoujo,4651,ONA,6,Jan 2022 - Jan 2022,6.85
3608,Mainichi Kaasan,3303,TV,142,Apr 2009 - Mar 2012,7.15
3609,Ginsoukikou Ordian,10597,TV,24,Apr 2000 - Sep 2000,5.57
3610,Doraemon: Nobita to Mirai Note,8856,OVA,1,1994 - 1994,6
3611,Heat Guy J: Toriko - Angel,4543,Special,1,Sep 2003 - Sep 2003,6.87
3612,Shadowverse Recaps,11059,Special,3,Jun 2020 - Mar 2021,5.43
3613,Kowarekake no Orgel (Movie),2679,Movie,1,Sep 2010 - Sep 2010,7.27
3614,Oh! Edo Rocket,3051,TV,26,Apr 2007 - Sep 2007,7.2
3615,Lu Shidai 2nd Season,5464,ONA,13,Nov 2014 - Dec 2015,6.68
3616,Ling Feng Zhe,8661,ONA,7,Jan 2019 - Mar 2019,6.05
3617,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,1199,TV,6,Nov 2017 - Jan 2018,7.68
3618,Lovely Movie: Itoshi no Muco,7179,TV,20,Jul 2013 - Dec 2013,6.35
3619,Guilstein,11732,Movie,1,Jun 2002 - Jun 2002,5.17
3620,xxxHOLiC◆Kei,333,TV,13,Apr 2008 - Jun 2008,8.21
3621,Li Shi Zhentan Shiwusuo: A Day in Lungmen - Liang Xiaoshi Jiaqi,8510,ONA,1,Apr 2023 - Apr 2023,6.08
3622,Kill Me Baby,4620,TV,13,Jan 2012 - Mar 2012,6.85
3623,Re:Stage! Dream Days♪,5498,TV,12,Jul 2019 - Sep 2019,6.67
3624,Urusei Yatsura Movie 3: Remember My Love,4313,Movie,1,Jan 1985 - Jan 1985,6.93
3625,Guilty Crown: Lost Christmas - An Episode of Port Town,4525,OVA,1,Jul 2012 - Jul 2012,6.88
3626,Oban Star-Racers,1682,TV,26,Sep 2006 - Mar 2007,7.51
3627,Hajimete no Eigo: Nippon Mukashibanashi,4677,OVA,18,2004 - 2004,6.84
3628,Shinkai no Kantai: Submarine 707,11152,OVA,1,Jan 1997 - Jan 1997,5.4
3629,Saijaku Muhai no Bahamut,6185,TV,12,Jan 2016 - Mar 2016,6.54
3630,Quanzhi Fashi IV,2455,ONA,12,May 2020 - Jun 2020,7.32
3631,Tytania,4857,TV,26,Oct 2008 - Mar 2009,6.8
3632,Virtual Star 2000,11253,OVA,6,Apr 2000 - Apr 2000,5.36
3633,Doukyuusei (Movie),252,Movie,1,Feb 2016 - Feb 2016,8.29
3634,Another: The Other - Inga,2707,OVA,1,May 2012 - May 2012,7.27
3635,Mazinkaiser,2381,OVA,7,Sep 2001 - Sep 2002,7.33
3636,Sword Art Online: Alicization - War of Underworld Recap,4434,Special,1,Jul 2020 - Jul 2020,6.89
3637,Kidou Senshi Gundam: Suisei no Majo,714,TV,12,Oct 2022 - Jan 2023,7.91
3638,Samuroid Zero,12523,Special,1,2005 - 2005,4.56
3639,21 Emon Uchuu ike! Hadashi no Princess,7098,Movie,1,Mar 1992 - Mar 1992,6.36
3640,Afro-Ken,11667,OVA,1,Jun 2001 - Jun 2001,5.19
3641,Gokinjo Monogatari,1333,TV,50,Sep 1995 - Sep 1996,7.62
3642,Project Zeorymer,8454,OVA,4,Nov 1988 - Feb 1990,6.09
3643,Cinderella Monogatari,2483,TV,26,Apr 1996 - Oct 1996,7.31
3644,Otaku no Video,3520,OVA,2,Sep 1991 - Dec 1991,7.11
3645,This Is Not Blue,11560,Movie,1,Jul 2020 - Jul 2020,5.25
3646,Battle Programmer Shirase,4401,TV,15,Oct 2003 - Jan 2004,6.9
3647,Mahoutsukai no Yome Recap,2829,Special,1,Dec 2017 - Dec 2017,7.24
3648,Hakuchuu Meikyuu,12432,ONA,1,2004 - 2004,4.67
3649,Komori-san wa Kotowarenai!,7717,TV,12,Oct 2015 - Dec 2015,6.24
3650,Xiao Mo Tou Baolu La! 2,5358,ONA,13,Apr 2022 - Jul 2022,6.7
3651,Evangelion: 3.0 (-46h),4656,Special,1,Mar 2023 - Mar 2023,6.85
3652,Senyuu.,2671,TV,13,Jan 2013 - Apr 2013,7.28
3653,Ame-iro Cocoa Series: Ame-con!!,12367,TV,12,Oct 2017 - Dec 2017,4.73
3654,.hack//G.U. Trilogy: Parody Mode,7097,Special,1,Mar 2008 - Mar 2008,6.36
3655,Densetsu Kyojin Ideon: Sesshoku-hen,8854,Movie,1,Jul 1982 - Jul 1982,6
3656,Heartcatch Precure!,824,TV,49,Feb 2010 - Jan 2011,7.85
3657,Ayane-chan High Kick!,9567,OVA,2,Jan 1997 - Apr 1997,5.84
3658,Shin Koihime†Musou: Otome Tairan - Gakuensai da yo! Zenin Shuugou no Koto,5656,OVA,1,Feb 2011 - Feb 2011,6.64
3659,Shaman King Specials,2842,Special,5,Jan 2002 - Jul 2003,7.24
3660,Tamayura,3319,OVA,4,Sep 2010 - Dec 2010,7.15
3661,Patalliro!,2972,TV,49,Apr 1982 - May 1983,7.22
3662,Ginga Tetsudou 999,970,TV,113,Sep 1978 - Mar 1981,7.78
3663,Tsukipro The Animation,5440,TV,13,Oct 2017 - Dec 2017,6.68
3664,Arata Kangatari,6688,TV,12,Apr 2013 - Jul 2013,6.44
3665,Girls & Panzer: Saishuushou Part 3 Specials,3189,Special,2,Dec 2021 - Dec 2021,7.18
3666,Mononoke,157,TV,12,Jul 2007 - Sep 2007,8.43
3667,Yuki no Joou (TV),4324,TV,36,May 2005 - Feb 2006,6.92
3668,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",4305,TV,12,Apr 2021 - Jun 2021,6.93
3669,Soukyuu no Fafner: Dead Aggressor,2771,TV,25,Jul 2004 - Dec 2004,7.26
3670,Koukaku Kidoutai: Ghost Chaser,7934,Movie,1,Nov 2018 - Nov 2018,6.19
3671,Cake Sushi,10798,ONA,2,Oct 2015 - Nov 2015,5.51
3672,Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,11395,OVA,1,Aug 1990 - Aug 1990,5.31
3673,Love Live! School Idol Project Recap,4290,Special,1,Dec 2013 - Dec 2013,6.93
3674,Hokuto no Ken: Raoh Gaiden Ten no Haoh,3565,TV,13,Oct 2008 - Dec 2008,7.1
3675,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,927,Special,1,Apr 2010 - Apr 2010,7.8
3676,Alexander Senki Movie,9914,Movie,1,Oct 2000 - Oct 2000,5.75
3677,Ginyuu Mokushiroku Meine Liebe Wieder,5765,TV,13,Jan 2006 - Apr 2006,6.62
3678,Hana no Zundamaru,10649,ONA,8,Oct 2013 - Dec 2013,5.56
3679,A.LI.CE,12486,Movie,1,Feb 2000 - Feb 2000,4.6
3680,"Soushin Shoujo Matoi: Yuma-chin, Matomemashita - Nanimo Kitenakute... Natsu",9938,Special,1,Dec 2016 - Dec 2016,5.75
3681,Attack No.1 (1970),7802,Movie,1,Mar 1970 - Mar 1970,6.22
3682,Kaijuu Girls Kuro: Ultra Kaijuu Gijinka Keikaku,7018,Movie,1,Nov 2018 - Nov 2018,6.38
3683,Nodoka Mori no Doubutsu Daisakusen,10730,Special,1,Feb 1980 - Feb 1980,5.53
3684,Muku no Ki no Hanashi,11510,Movie,1,Sep 1947 - Sep 1947,5.27
3685,Wizard Barristers: Benmashi Cecil,8046,TV,12,Jan 2014 - Mar 2014,6.17
3686,Yellow,12155,Movie,1,2003 - 2003,4.9
3687,Sabikui Bisco,3293,TV,12,Jan 2022 - Mar 2022,7.16
3688,Pochacco no Jack to Mame no Ki,10820,OVA,1,Jul 2001 - Jul 2001,5.51
3689,Towa no Quon 1: Utakata no Kaben,2612,Movie,1,Jun 2011 - Jun 2011,7.29
3690,Takahashi Rumiko Gekijou Ningyo no Mori,3952,TV,13,Oct 2003 - Dec 2003,7.02
3691,Drifters (OVA),1616,OVA,2,Dec 2017 - Dec 2017,7.53
3692,Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss,2911,OVA,1,Apr 2015 - Apr 2015,7.23
3693,Africa no Salaryman,9391,ONA,10,Jun 2017 - Jun 2017,5.88
3694,All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga,10079,ONA,12,Jun 2016 - Jul 2016,5.71
3695,Bada-ui Jeonseol Jangbogo,9392,TV,26,2002 - 2002,5.88
3696,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,3006,TV,13,Jul 2013 - Sep 2013,7.21
3697,Overlord Movie: Manner Movie,4560,Movie,1,Feb 2017 - Feb 2017,6.87
3698,Chibi Maruko-chan Movie: Italia kara Kita Shounen,5826,Movie,1,Dec 2015 - Dec 2015,6.61
3699,Transformers: Scramble City,10024,OVA,1,Apr 1986 - Apr 1986,5.72
3700,Huyao Xiao Hongniang: Zhu Ye,2496,ONA,12,Mar 2019 - May 2019,7.31
3701,Gegege no Kitarou: Kitarou no Yuurei Densha,10146,Movie,1,Mar 1999 - Mar 1999,5.69
3702,One Punch Man 2nd Season,1728,TV,12,Apr 2019 - Jul 2019,7.5
3703,Osekisho,12606,Movie,1,May 1930 - May 1930,4.4
3704,Shelter,6105,Movie,1,1980 - 1980,6.55
3705,Kimi ni Todoke,600,TV,25,Oct 2009 - Mar 2010,8
3706,Kyokujitsu no Kantai,7915,OVA,15,Feb 1997 - 2002,6.2
3707,Koi to Yobu ni wa Kimochi Warui,3363,TV,12,Apr 2021 - Jun 2021,7.14
3708,Mighty Orbots,10512,TV,13,Sep 1984 - Dec 1984,5.6
3709,Tsuritama: Harikitte Contest,9431,Special,1,Nov 2012 - Nov 2012,5.88
3710,R.O.D: Read or Die,1348,OVA,3,May 2001 - Feb 2002,7.62
3711,Arifureta Shokugyou de Sekai Saikyou 2nd Season Picture Drama,8421,ONA,12,Jan 2022 - Mar 2022,6.09
3712,Saint Seiya Omega,7644,TV,97,Apr 2012 - Mar 2014,6.26
3713,Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,8332,OVA,1,Mar 2006 - Mar 2006,6.11
3714,Gaikan Chiba,11090,ONA,1,May 2018 - May 2018,5.42
3715,ViVid Strike! Specials,5594,Special,3,Jan 2017 - Mar 2017,6.65
3716,Kiratto Pri☆chan Season 3,3447,TV,51,Apr 2020 - May 2021,7.12
3717,Suisei no Gargantia: Puchitto Furikaerintia,8220,Special,1,Sep 2014 - Sep 2014,6.14
3718,Detective Conan: The Scarlet Alibi,2486,Movie,1,Feb 2021 - Feb 2021,7.31
3719,Dorami-chan: Mini-Dora SOS!!!,6850,Movie,1,Mar 1989 - Mar 1989,6.41
3720,Aikatsu Stars! Movie,2267,Movie,1,Aug 2016 - Aug 2016,7.36
3721,Yuu☆Yuu☆Hakusho (Movie),4919,Movie,1,Jul 1993 - Jul 1993,6.79
3722,Aoshima Megu,11787,ONA,1,Jul 2017 - Jul 2017,5.13
3723,Trava: Fist Planet,6387,OVA,4,Mar 2002 - Jul 2002,6.51
3724,Pui Pui Molcar: Driving School,3435,TV,12,Oct 2022 - Dec 2022,7.13
3725,K: Missing Kings - Manner Movie,6502,Movie,1,Jul 2014 - Jul 2014,6.48
3726,Final Fantasy VII: On the Way to a Smile - Episode: Denzel,3626,OVA,1,Apr 2009 - Apr 2009,7.09
3727,Free!,2413,TV,12,Jul 2013 - Sep 2013,7.33
3728,Yurumates wa?,7890,OVA,1,Jun 2011 - Jun 2011,6.2
3729,SD Gundam World Heroes,10182,ONA,24,Apr 2021 - Sep 2021,5.68
3730,Arata naru Sekai: World's/Start/Load/End,7679,OVA,1,Oct 2012 - Oct 2012,6.25
3731,11eyes: Momoiro Genmutan,8715,Special,1,Jun 2010 - Jun 2010,6.03
3732,Bunbuku Chagama (1958),11981,Movie,1,1958 - 1958,5.03
3733,Teito Monogatari,9302,OVA,4,Sep 1991 - Sep 1992,5.9
3734,New Game!,1466,TV,12,Jul 2016 - Sep 2016,7.57
3735,Shin Strange+,7929,TV,12,Jul 2014 - Sep 2014,6.2
3736,Houkago Teibou Nisshi,2036,TV,12,Apr 2020 - Sep 2020,7.42
3737,Mahou no Star Magical Emi,3424,TV,38,Jun 1985 - Feb 1986,7.13
3738,Bakuretsu Tenshi: Infinity,5092,OVA,1,Mar 2007 - Mar 2007,6.75
3739,Kurau Phantom Memory,2588,TV,24,Jun 2004 - Dec 2004,7.29
3740,Bubuki Buranki,7685,TV,12,Jan 2016 - Mar 2016,6.25
3741,Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,4562,OVA,1,Nov 2011 - Nov 2011,6.87
3742,Machine Robo: Cronos no Dai Gyakushuu,7322,TV,47,Jul 1986 - May 1987,6.32
3743,Hayou no Tsurugi: Shikkoku no Mashou,10334,OVA,2,Nov 1992 - Dec 1992,5.65
3744,Detective Conan Movie 12: Full Score of Fear,967,Movie,1,Apr 2008 - Apr 2008,7.78
3745,Karakai Jouzu no Takagi-san Movie,115,Movie,1,Jun 2022 - Jun 2022,8.52
3746,"""R100"" x Mameshiba Original Manners",12387,ONA,1,Sep 2013 - Sep 2013,4.71
3747,Spider Riders: Oracle no Yuusha-tachi,6109,TV,26,Apr 2006 - Sep 2006,6.55
3748,Redline,261,Movie,1,Aug 2009 - Aug 2009,8.28
3749,Naruto: Shippuuden Movie 2 - Kizuna,2656,Movie,1,Aug 2008 - Aug 2008,7.28
3750,Yume ga Sameru made,4436,ONA,1,Jul 2017 - Jul 2017,6.89
3751,Godzilla 2: Kessen Kidou Zoushoku Toshi,6156,Movie,1,May 2018 - May 2018,6.54
3752,IDOLiSH7 Second Beat!,426,TV,15,Apr 2020 - Dec 2020,8.14
3753,K: Seven Stories Movie 1 - R:B - Blaze,2055,Movie,1,Jul 2018 - Jul 2018,7.41
3754,Wellber no Monogatari: Kanashimi no Senshi Galahad no Banka,10635,OVA,1,Nov 2007 - Nov 2007,5.56
3755,Seikai no Senki II Special,8022,Special,1,Jul 2005 - Jul 2005,6.18
3756,Kinnikuman: Kessen! Shichinin no Choujin tai Uchuu Nobushi,7428,Special,1,Jul 1984 - Jul 1984,6.3
3757,Karuizawa Syndrome,10723,OVA,1,Mar 1986 - Mar 1986,5.53
3758,Minion,11182,ONA,3,Dec 2014 - Sep 2019,5.39
3759,Baka Baka Baka na Sekai,12663,Movie,1,Oct 1968 - Oct 1968,4.2
3760,High School Fleet,2495,TV,12,Apr 2016 - Jun 2016,7.31
3761,The☆Doraemons: Dokidoki Kikansha Daibakusou!,6991,Movie,1,Mar 2000 - Mar 2000,6.38
3762,Cosmo Police Justy,11225,OVA,1,Jul 1985 - Jul 1985,5.37
3763,"Wake Up, Girls! Beyond the Bottom",2924,Movie,1,Dec 2015 - Dec 2015,7.23
3764,Maken-Ki! Two Specials,7783,Special,5,Mar 2014 - Jul 2014,6.22
3765,Girly Air Force,8129,TV,12,Jan 2019 - Mar 2019,6.15
3766,Yuan Long 3rd Season,8398,ONA,16,Nov 2022 - Mar 2023,6.1
3767,Rizelmine,6369,TV,24,Apr 2002 - Dec 2002,6.51
3768,One Piece: Otoshidama Special - Tokubetsu Hou Mugiwara Kaizoku-dan no Himitsu!,7058,Special,1,Jan 2006 - Jan 2006,6.37
3769,Chichibu de Buchichi,10103,ONA,1,Mar 2018 - Mar 2018,5.7
3770,Chuunibyou demo Koi ga Shitai!,1112,TV,12,Oct 2012 - Dec 2012,7.71
3771,Oh! 96-kku,11479,ONA,1,Jan 2016 - Jan 2016,5.28
3772,TaoTao Ehonkan Sekai Doubutsu Banashi,5355,TV,52,Oct 1983 - Apr 1985,6.7
3773,Akikan!,8278,TV,12,Jan 2009 - Mar 2009,6.12
3774,Fate/Grand Order: Zettai Majuu Sensen Babylonia,660,TV,21,Oct 2019 - Mar 2020,7.94
3775,Princess Principal: Ange Report,6658,ONA,1,Sep 2017 - Sep 2017,6.45
3776,Nodame Cantabile OVA,1987,OVA,1,Aug 2009 - Aug 2009,7.43
3777,Galaxy Angel 4,2948,TV,13,Jul 2004 - Sep 2004,7.22
3778,Santa Company,10060,Movie,1,Oct 2014 - Oct 2014,5.72
3779,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,1424,OVA,1,Sep 2013 - Sep 2013,7.59
3780,eX-Driver the Movie Specials,8340,Special,3,Oct 2002 - Oct 2002,6.11
3781,Hatoya,11793,ONA,1,Mar 2012 - Mar 2012,5.13
3782,Marudase Kintarou,12703,Movie,1,Dec 2020 - Dec 2020,3.97
3783,Fruits Basket 1st Season,327,TV,25,Apr 2019 - Sep 2019,8.22
3784,Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza - Extra,6154,Special,1,Dec 2018 - Dec 2018,6.54
3785,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,639,TV,12,Apr 2018 - Jun 2018,7.96
3786,Code Geass: Hangyaku no Lelouch R2,19,TV,25,Apr 2008 - Sep 2008,8.91
3787,"High School DxD New: Oppai, Tsutsumimasu!",2724,OVA,1,Mar 2015 - Mar 2015,7.27
3788,Doubutsu Mura no Sports Day,12070,Movie,1,1932 - 1932,4.97
3789,Long Zhi Gu: Jingling Wangzuo,2964,Movie,1,Aug 2016 - Aug 2016,7.22
3790,Koihime†Musou,5259,TV,12,Jul 2008 - Sep 2008,6.72
3791,Needless,2970,TV,24,Jul 2009 - Dec 2009,7.22
3792,Kuroko no Basket: Baka ja Katenai no yo!,1583,OVA,1,Dec 2013 - Dec 2013,7.54
3793,Shakugan no Shana S,2367,OVA,4,Oct 2009 - Sep 2010,7.34
3794,Imawa no Kuni no Alice,2582,OVA,3,Oct 2014 - Feb 2015,7.29
3795,Yama no Susume Third Season,1425,TV,13,Jul 2018 - Sep 2018,7.59
3796,Mermaid Melody Pichi Pichi Pitch,3277,TV,52,Apr 2003 - Mar 2004,7.16
3797,Oushitsu Kyoushi Heine,1865,TV,12,Apr 2017 - Jun 2017,7.46
3798,"Wake Up, Girls! Shin Shou",6198,TV,12,Oct 2017 - Jan 2018,6.54
3799,Robot Girls Z: Fukkatsu no Chika Teikoku!? Robot Girls Z vs. Nazo no Sandai Shuyaku Robo!,10059,Special,1,Jan 2018 - Jan 2018,5.72
3800,Fujinkoron-senpai,12146,ONA,1,May 2016 - May 2016,4.91
3801,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken Specials",6655,Special,6,Jan 2016 - Jun 2016,6.45
3802,Perman (1983),6018,TV,526,Apr 1983 - Jul 1985,6.57
3803,Kusoge tte Iuna! Animation,11354,ONA,12,Oct 2020 - Jan 2021,5.33
3804,Uta∽Kata: Shotou no Futanatsu,4574,Special,1,Apr 2005 - Apr 2005,6.87
3805,Keifuku-san,9690,ONA,1,Dec 2017 - Dec 2017,5.81
3806,Robo to Shoujo (Kari),11333,ONA,9,Jun 2010 - Jun 2011,5.34
3807,Shin Tennis no Ouji-sama: U-17 World Cup,5575,TV,13,Jul 2022 - Sep 2022,6.66
3808,Kamisama Hajimemashita: Kako-hen,181,OVA,4,Aug 2015 - Aug 2016,8.39
3809,Marimo no Hana: Saikyou Butouha Shougakusei Densetsu,12018,OVA,1,Mar 2012 - Mar 2012,5.01
3810,Saiyuuki Reload Gunlock,2231,TV,26,Apr 2004 - Sep 2004,7.37
3811,Tora-chan to Hanayome,10787,Movie,1,Feb 1948 - Feb 1948,5.52
3812,Servamp,4476,TV,12,Jul 2016 - Sep 2016,6.89
3813,Madoromi no Vevara,6807,ONA,1,Jul 2019 - Jul 2019,6.42
3814,Yagami-kun no Katei no Jijou,9308,OVA,3,May 1990 - May 1990,5.9
3815,Macross: Do You Remember Love?,666,Movie,1,Jul 1984 - Jul 1984,7.94
3816,Ryuu no Haisha,2247,Special,2,Feb 2017 - Feb 2017,7.36
3817,Kozaru no Buranko,11439,Movie,1,Dec 1959 - Dec 1959,5.29
3818,Ankoku Cat,10214,ONA,6,Dec 2006 - May 2008,5.67
3819,Build Divide: Code White Recap,10264,Special,1,May 2022 - May 2022,5.66
3820,Mazinger Z x Hello Kitty x Chogokin,10367,ONA,1,Jan 2016 - Jan 2016,5.64
3821,Juuou Mujin no Fafnir,8004,TV,12,Jan 2015 - Mar 2015,6.18
3822,Gall Force: The Revolution,9398,OVA,4,Oct 1996 - Mar 1997,5.88
3823,Joukamachi no Dandelion,3268,TV,12,Jul 2015 - Sep 2015,7.16
3824,Kujira (1952),12076,Movie,1,Dec 1952 - Dec 1952,4.97
3825,Kirakira Happy★Hirake! Cocotama,6012,TV,55,Sep 2018 - Sep 2019,6.57
3826,Versailles no Bara: Seimei Aru Kagiri Aishite,4847,Movie,1,May 1990 - May 1990,6.81
3827,Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,3556,Movie,1,Apr 2013 - Apr 2013,7.1
3828,Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha,2241,Special,1,Mar 2018 - Mar 2018,7.36
3829,Batain Lai!! Minami no Shima no Mizu Monogatari,8827,Movie,1,May 2009 - May 2009,6.01
3830,"Komi-san wa, Comyushou desu.",694,TV,12,Oct 2021 - Dec 2021,7.92
3831,Rozen Maiden: Ouvertüre,1096,Special,2,Dec 2006 - Dec 2006,7.72
3832,Nobunaga no Shinobi: Nobunaga to Minarai Shinobi,5055,Special,1,Mar 2016 - Mar 2016,6.76
3833,Magic-Kyun! Renaissance,3982,TV,13,Oct 2016 - Dec 2016,7.01
3834,Genshiken Nidaime OVA,3338,OVA,1,Dec 2013 - Dec 2013,7.15
3835,ēlDLIVE,8405,TV,12,Jan 2017 - Mar 2017,6.1
3836,Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,1839,OVA,8,Oct 2021 - Feb 2022,7.46
3837,Himouto! Umaru-chan R,2443,TV,12,Oct 2017 - Dec 2017,7.32
3838,Higashi no Eden Movie II: Paradise Lost,1492,Movie,1,Mar 2010 - Mar 2010,7.57
3839,Go for 2020,9381,Movie,1,Sep 2016 - Sep 2016,5.89
3840,Chuumon no Ooi Ryouriten (1991),7827,Movie,1,1991 - 1991,6.21
3841,Cookin' Idol Ai! Mai! Main!,7687,TV,305,Mar 2009 - Mar 2013,6.25
3842,Happiness!: Watarase Jun no Kareinaru Ichinichi,5549,OVA,1,Jan 2007 - Jan 2007,6.66
3843,Yao Shen Ji,2616,ONA,40,May 2017 - Sep 2017,7.29
3844,Isekai Quartet Relay PV,7422,ONA,4,Oct 2018 - Mar 2019,6.3
3845,Kinnikuman: Kinnikusei Oui Soudatsu-hen,4103,TV,46,Oct 1991 - Sep 1992,6.98
3846,BanG Dream! Morfonication,1437,Special,2,Jul 2022 - Jul 2022,7.58
